127.0.0.1 - - [02/Nov/2018:20:34:01 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:34:09 -0400] "GET /ERS-Project_1/ HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:34:21 -0400] "GET /ERS_Project/ HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:34:28 -0400] "GET /Ers_Project/ HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:34:29 -0400] "GET /Ers_Project/css/ers-css.css HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:34:29 -0400] "GET /Ers_Project/js/app.js HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:34:29 -0400] "GET /Ers_Project/welcome_page.view HTTP/1.1" 500 1467
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:35:45 -0400] "GET /ERS-Project_1/ HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:10 -0400] "GET /Ers_Project/ HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:10 -0400] "GET /Ers_Project/css/ers-css.css HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:10 -0400] "GET /Ers_Project/js/app.js HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:10 -0400] "GET /Ers_Project/welcome_page.view HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:12 -0400] "GET /Ers_Project/create_account.view HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:25 -0400] "POST /Ers_Project/email.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:28 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:33 -0400] "POST /Ers_Project/email.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:34 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:35 -0400] "POST /Ers_Project/email.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:35 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:38 -0400] "POST /Ers_Project/email.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:42 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:45 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:48 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:36:49 -0400] "POST /Ers_Project/create_account HTTP/1.1" 500 1603
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:37:08 -0400] "POST /Ers_Project/email.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:37:09 -0400] "POST /Ers_Project/username.validate HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Nov/2018:20:37:11 -0400] "POST /Ers_Project/create_account HTTP/1.1" 500 1603
